file_path,scenario_id,prompt_name,run_id,model_name,repeat_idx,image_path,task_text,inference_time_sec,json_parse_ok,error
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r8.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,8,,Pick up the darker box.,20.15697273600017,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r2.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,2,,Pick up the darker box.,20.092503814999873,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r10.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,10,,Pick up the darker box.,18.341983747000086,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r9.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,9,,Pick up the darker box.,30.111528491000172,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r7.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,7,,Pick up the darker box.,20.056143423999856,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r6.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,6,,Pick up the darker box.,21.47074350999992,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r5.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,5,,Pick up the darker box.,23.004066418000548,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r4.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,4,,Pick up the darker box.,16.938324550999823,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r1.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,1,,Pick up the darker box.,25.070325515999684,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r6.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,6,,Pick up the darker box.,5.958185424000476,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r2.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,2,,Pick up the darker box.,6.425602397999683,True,
